id_convocatoria,cui
1024414,2629649
1024419,2559938
1024459,2598704
1024468,2553174
1024473,2473564
1024492,2284371
1024510,2537102
1024513,2518759
1024562,2588827
1024584,2643681
1024603,"2588668,2604222,2608316"
1024611,2452278
1024621,2628425
1024629,2579121
1024631,2573512
1024637,2476202
1024640,2490675
1024648,2601875
1024652,2567579
1024666,2554267
1024685,2311459
1024724,2433207
1024734,2308669
1024735,2498482
1024754,2600330
1024793,2617044
1024810,2590329
1024812,2550759
1024814,2146133
1024828,2600793
1024837,2614216
1024871,2183886
1024893,2627875
1024916,2573987
1024929,2542420
1024935,2433038
1024959,2477954
1024996,2472776
1024998,2628476
1025009,2609124
1025019,2643664
1025026,2611711
1025049,2520451
1025055,2490075
1025083,2611107
1025093,2417555
1025101,2620635
1025111,2495630
1025113,2513887
1025127,2619218
1025148,2473793
1025160,2553710
1025245,2539239
1025258,2491159
1025283,2576015
1025369,2249298
1025370,2478727
1025384,2474637
1025437,2515414
1025509,2472414
1025533,2424575
1025536,2488274
1025586,2562458
1025605,2630270
1025609,2568823
1025615,2114461
1025626,"2646576,2646579,2646585,2646594,2646736"
1025628,2188542
1025716,2614216
1025724,2540305
1025737,"2591048,2617094,2617106,2617286,2617454,2617690,2618301"
1025747,"2630514,2630515,2630516"
1025767,"2630514,2630515,2630516"
1025799,2602279
1025807,2468021
1025809,2624610
1025844,2436830
1025876,2263802
1025915,2538420
1025925,2595467
1026033,2332458
1026039,2263802
1026080,2601562
1026090,2453683
1026111,2332458
1026158,2491462
1026167,2187911
1026169,2313145
1026206,2632176
1026207,2639993
1026217,2524059
1026220,2553660
1026228,2602428
1026253,2550882
1026258,2611130
1026272,2513904
1026289,2589842
1026297,2498892
1026304,2635794
1026309,2546730
1026323,2612109
1026327,2567862
1026349,2456922
1026353,2447248
1026369,2562849
1026380,2472550
1026411,2567862
1026453,2603211
1026521,2638565
1026522,2457257
1026527,2621130
1026539,"2636391,2636931"
1026540,2600872
1026547,2601002
1026564,2636605
1026582,2553153
1026612,2562849
1026640,2519200
1026713,2387247
1026717,2467577
1026849,2586292
1026850,2649050
1026854,2648812
1026867,2523184
1026896,"2579294,2579343,2579362,2579386"
1026920,2306190
1026923,2633252
1026983,2466795
1027003,2613732
1027034,2221891
1027081,2595142
1027098,2634297
1027107,2387471
1027120,2481971
1027150,2528771
1027153,2549452
1027177,2480499
1027179,2439713
1027180,2317287
1027186,2287700
1027193,2467230
1027225,2606788
1027226,2594804
1027265,2617852
1027282,2194711
1027326,2524193
1027339,2524193
1027348,2595108
1027360,2289721
1027368,2533545
1027377,2629512
1027402,2190688
1027415,2531999
1027432,2246147
1027433,2246147
1027447,2184585
1027452,2454675
1027458,2176842
1027484,2493108
1027497,2508825
1027502,2609117
1027536,2322448
1027553,2650226
1027567,2486174
1027587,2612060
1027660,2545079
1027673,2467465
1027701,2403605
1027790,2358882
1027793,2094975
1027810,2630151
1027812,2591445
1027839,2488118
1027848,2307983
1027863,2627345
1027881,2634587
1027885,2543713
1027894,2154549
1027931,2468909
1027936,2622647
1027954,2398234
1027979,2461584
1027991,2225793
1028006,2425965
1028069,2077997
1028089,2115744
1028100,2553660
1028103,2205992
1028129,2550394
1028133,2527049
1028142,"2500887,2507052"
1028144,2596238
1028164,"2251811,2270149"
1028195,2603370
1028196,2184684
1028197,2485866
1028215,2500887
1028242,2215894
1028265,2571412
1028339,2615550
1028348,2596379
1028358,2643779
1028361,2627061
1028390,2332660
1028391,2616786
1028401,2600872
1028421,2341773
1028425,2634218
1028433,2614216
1028449,2352969
1028456,2302925
1028463,2215017
1028504,2587006
1028529,2634690
1028530,2607951
1028542,2443519
1028543,2509015
1028598,"2234945,2445733,2478557,2484474,2485597,2485914,2485915,2485916,2487730,2489229,2489366,2496607,2496978,2511928"
1028641,2336294
1028664,2237106
1028684,2592754
1028720,2509015
1028736,2613995
1028747,2270682
1028752,2477954
1028803,2554011
